CD_MUN,NM_MUN,CNAE_section,MPI
4313359,Nova Roma do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02557440293324102
4313375,Nova Santa Rita,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.05985879632992447
4313409,Novo Hamburgo,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.06050032589136878
4313425,Novo Machado,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009498395794954716
4313441,Novo Tiradentes,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.011440654541122846
4313466,Novo Xingu,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.013811459199774133
4313490,Novo Barreiro,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01621728381002878
4313508,Osório,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.007867422537211326
4313607,Paim Filho,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010477232781043991
4313656,Palmares do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009181899540773437
4313706,Palmeira das Missões,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.00926787466759212
4313805,Palmitinho,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0073912126868812015
4313904,Panambi,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.020023356390449196
